"NonWhite","White"
0.543,0.302
0.482,0.443
0.944,0.036
0.278,0.702
0.532,0.451
0.479,0.518
0.302,0.629
0.806,0.154
0.756,0.222
0.824,0.165
0.679,0.286
0.109,0.875
0.293,0.676
0.396,0.57
0.403,0.577
0.18,0.749
0.225,0.722
0.502,0.451
0.332,0.651
0.582,0.414
0.509,0.487
0.55,0.444
0.314,0.659
0.67,0.302
0.693,0.294
0.517,0.462
0.649,0.288
0.652,0.334
0.707,0.277
0.935,0.065
0.942,0.052
0.504,0.494
0.843,0.157
0.975,0.021
0.977,0.022
0.508,0.417
0.752,0.216
0.951,0.043
0.974,0
0.163,0.75
0.728,0.258
0.932,0.068
0.38,0.567
0.811,0.152
0.966,0.033
0.989,0.011
0.975,0.015
0.813,0.161
0.906,0.057
0.683,0.267
0.245,0.711
0.301,0.663
0.946,0.049
0.989,0.007
0.72,0.278
0.837,0.153
0.89,0.106
0.559,0.411
0.311,0.664
0.277,0.678
0.353,0.61
0.515,0.442
0.882,0.111
0.841,0.146
0.666,0.289
0.815,0.178
0.667,0.3
0.726,0.261
0.243,0.738
0.426,0.552
0.494,0.486
0.14,0.831
0.496,0.497
0.378,0.606
0.289,0.656
0.725,0.258
0.816,0.119
0.912,0.065
0.719,0.267
0.662,0.253
0.927,0.069
0.875,0.086
0.744,0.243
0.7,0.243
0.796,0.157
0.651,0.27
0.169,0.812
0.33,0.63
0.49,0.502
0.842,0.15
0.513,0.438
0.678,0.283
0.712,0.281
0.047,0.93
0.505,0.437
0.216,0.761
0.304,0.69
0.538,0.457
0.248,0.696
0.609,0.374
0.669,0.317
0.287,0.513
0.47,0.43
0.721,0.147
0.205,0.767
0.051,0.928
0.106,0.888
0.199,0.79
0.145,0.838
0.905,0.094
0.094,0.882
0.594,0.355
0.31,0.667
0.789,0.193
0.428,0.565
0.267,0.709
0.26,0.72
0.044,0.945
0.176,0.796
0.205,0.767
0.372,0.579
0.263,0.661
0.337,0.637
0.09,0.905
0.167,0.797
0.167,0.827
0.348,0.642
0.247,0.728
0.179,0.772
0.802,0.194
0.225,0.746
0.415,0.517
0.42,0.464
0.397,0.56
0.194,0.723
0.184,0.793
0.071,0.914
