"NonBlack","Black"
0.844,0.136
0.73,0.266
0.225,0.764
0.775,0.211
0.99,0.002
0.868,0.022
0.938,0.044
0.67,0.318
0.539,0.115
0.729,0.153
0.064,0.004
0.911,0.005
0.978,0.004
0.932,0.061
0.828,0.072
0.845,0.097
0.887,0.063
0.928,0.019
0.77,0.13
0.955,0
0.875,0.025
0.946,0.02
0.911,0.033
0.891,0.035
0.89,0.007
0.891,0.037
0.959,0.013
0.996,0
0.922,0.071
0.983,0.009
0.939,0.02
0.715,0.275
0.928,0.035
0.579,0.421
0.675,0.297
0.94,0.047
0.962,0.001
0.79,0.124
0.965,0.019
0.962,0.018
0.977,0.023
0.967,0.025
0.985,0.01
0.952,0.048
0.996,0
0.995,0
0.884,0.041
0.444,0.513
0.934,0.048
0.642,0.332
0.874,0.039
0.962,0.024
1,0
0.918,0.029
0.894,0.061
0.999,0
0.994,0.006
0.567,0.423
0.918,0.054
0.881,0.08
0.902,0.035
0.954,0.002
0.956,0.008
0.994,0
0.995,0
0.993,0.005
0.973,0.015
0.975,0
0.795,0.151
0.958,0.009
0.911,0.044
0.94,0.023
0.934,0.013
0.977,0.016
0.926,0.061
0.886,0.062
0.97,0.023
0.857,0.109
0.937,0.04
0.966,0.012
0.896,0.082
0.884,0.081
0.968,0.003
0.874,0.118
0.942,0.042
0.936,0.008
0.954,0.029
0.714,0.192
0.886,0.086
0.858,0.123
0.87,0.045
0.956,0.04
0.961,0
0.976,0.011
0.905,0.038
0.784,0.167
0.709,0.206
0.968,0.006
0.936,0.024
0.968,0.014
0.97,0.022
0.919,0.02
0.788,0.166
0.767,0.219
0.977,0
0.58,0.342
0.924,0.046
0.991,0
0.964,0.007
0.933,0.011
0.977,0.006
0.986,0
0.948,0.036
0.692,0.276
0.526,0.416
0.907,0.069
0.89,0.073
0.39,0.574
0.784,0.197
0.881,0.079
0.042,0.959
0.339,0.652
0.076,0.9
0.053,0.947
0.491,0.482
0.927,0.063
0.79,0.173
0.672,0.308
0.641,0.343
0.736,0.249
0.162,0.837
0.168,0.829
0.971,0.012
0.881,0.098
0.931,0.038
0.959,0.026
0.832,0.162
0.889,0.099
0.942,0.044
0.989,0.002
0.618,0.381
0.893,0.089
0.913,0.08
0.96,0.037
0.767,0.224
0.579,0.377
0.789,0.191
0.497,0.478
0.721,0.256
0.89,0.097
0.797,0.114
0.948,0.042
0.383,0.579
0.093,0.875
0.957,0.028
0.545,0.427
0.798,0.002
0.826,0.074
0.864,0.001
0.937,0.035
0.979,0
0.993,0
0.031,0.943
0.973,0.021
0.327,0.668
0.995,0.005
0.563,0.39
0.775,0.203
0.49,0.459
0.596,0.381
0.855,0.113
0.77,0.187
0.965,0.003
0.835,0.141
0.089,0.885
0.73,0.232
0.397,0.559
0.581,0.382
0.899,0.033
0.98,0
0.774,0.134
0.828,0.124
0.885,0.052
0.985,0.001
0.602,0.341
0.933,0.037
0.354,0.624
0.873,0.086
0.889,0.059
0.929,0.06
0.97,0.01
0.942,0.04
0.98,0.012
0.995,0.001
0.066,0.934
0.958,0.033
0.473,0.527
0.11,0.867
0.968,0.02
0.541,0.459
0.367,0.606
0.156,0.84
0.496,0.471
0.978,0.003
0.144,0.845
0.396,0.591
0.861,0.13
0.15,0.82
0.058,0.921
0.481,0.45
0.22,0.761
0.013,0.987
0.234,0.685
0.952,0.044
0.963,0.021
0.987,0.001
0.357,0.598
0.957,0.015
0.918,0.028
0.99,0.001
0.969,0.005
0.906,0.074
0.908,0.089
0.014,0.967
0.047,0.95
0.98,0.013
0.958,0.022
0.811,0.164
0.755,0.188
0.763,0.178
0.949,0.03
0.737,0.221
0.586,0.391
0.906,0.088
0.158,0.839
0.83,0.163
0.688,0.292
0.887,0.043
0.894,0.053
0.97,0.018
0.937,0.041
0.386,0.598
0.984,0.001
0.067,0.931
0.019,0.967
0.003,0.997
0.541,0.447
0.88,0.001
0.891,0.002
0.94,0.049
0.956,0.007
0.686,0.281
0.86,0.105
0.983,0.002
0.918,0.081
0.946,0
0.688,0.256
0.991,0.004
0.786,0.202
0.784,0.209
0.977,0.013
0.827,0.144
0.878,0.111
0.855,0.128
0.808,0.172
0.406,0.588
0.938,0.036
0.972,0.002
0.993,0
0.902,0.007
0.98,0
0.211,0.753
0.798,0.173
0.821,0.135
0.961,0.021
0.944,0
0.231,0.766
0.962,0.01
0.986,0
0.767,0.165
0.938,0.057
0.792,0.198
0.731,0.196
0.743,0.215
0.358,0.597
0.868,0.076
0.587,0.396
0.665,0.278
0.135,0.854
0.173,0.81
0.601,0.342
0.916,0.068
0.886,0.095
0.567,0.424
0.001,0.986
0.689,0.25
0.703,0.208
0.96,0
0.933,0.039
0.56,0.369
0.983,0.016
0.909,0.053
0.782,0.01
0.885,0
0.833,0.003
0.853,0.008
0.513,0.237
0.409,0.42
0.793,0.102
0.913,0.01
0.927,0
0.841,0.051
0.925,0.007
0.771,0.062
0.718,0.006
0.785,0.091
0.875,0.004
0.7,0.171
0.674,0.201
0.981,0.005
0.934,0.029
0.913,0.055
0.944,0.003
0.854,0.048
0.967,0.007
0.984,0.009
0.389,0.566
0.867,0.081
0.825,0.17
0.896,0.077
0.795,0.192
0.996,0.004
0.868,0.11
0.329,0.638
0.888,0.092
0.703,0.283
0.747,0.238
0.807,0.154
0.775,0.197
0.71,0.253
0.887,0.103
0.716,0.221
0.996,0
0.411,0.581
0.835,0.156
0.021,0.979
0.999,0
0.861,0.131
0.881,0.104
0.956,0.041
0.862,0.091
0.937,0.057
0.836,0.161
0.817,0.162
0.172,0.815
0.921,0.067
0.962,0.039
0.936,0.041
0.849,0.129
0.618,0.368
0.783,0.213
0.671,0.303
0.678,0.298
0.836,0.135
0.748,0.234
0.58,0.392
0.695,0.297
0.916,0.051
0.683,0.255
0.8,0.133
0.975,0.012
0.965,0.008
1,0
0.997,0.002
0.975,0.015
0.948,0.026
0.863,0.132
0.86,0.117
0.857,0.124
0.975,0.017
0.911,0.06
0.926,0.019
0.942,0.021
0.983,0.01
0.996,0.004
0.959,0
0.979,0.016
0.962,0.002
0.978,0.016
0.987,0.002
0.806,0.17
0.699,0.254
0.747,0.199
0.934,0.062
0.943,0.034
0.352,0.629
0.382,0.567
0.867,0.088
0.971,0.003
0.89,0.035
0.974,0.021
0.917,0.003
0.692,0.212
0.754,0.128
0.871,0.076
0.864,0.043
0.971,0.001
0.976,0.015
0.997,0.002
0.831,0.099
0.947,0.03
0.935,0.021
0.891,0.105
0.946,0.01
0.967,0.018
